,mols_bitter,T_F,bitter_smiles,bitter,Reference
67,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67AD0>,False,CC[C@H](C)[C@H](C(=O)O)N,True,Fenaroli’s Handbook of Flavor Ingredient
68,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67B20>,False,CC(C)CC(C(=O)O)N,True,Fenaroli’s Handbook of Flavor Ingredient
69,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67B70>,False,CC(C)C[C@H](N)C(=O)O,True,BitterDB
70,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67BC0>,False,CCCCC(N)C(=O)O,True,BitterDB
71,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67C10>,False,CCC(C)C(C(=O)O)N,True,The Good Scents Company Database
72,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67C60>,False,C1=CC=C(C=C1)/C=C\CO,True,Fenaroli’s Handbook of Flavor Ingredient
73,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67CB0>,False,OCC=Cc1ccccc1,True,BitterDB
74,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67D00>,False,CC(C)C1=CC=C(C)CC1,True,BitterDB
75,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67D50>,False,NC(=O)c1ccccc1O,True,BitterDB
76,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67DA0>,False,CC1=CC=C(N1C)C(=O)C,True,The Good Scents Company Database
77,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67DF0>,False,O=N(=O)c1ccccc1N,True,Rojas et al. (2017)
78,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67E40>,False,C1=CC(=C(C=C1C=O)O)O,True,The Good Scents Company Database
79,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67E90>,False,COC1=CC=C(C=C1)OC,True,Fenaroli’s Handbook of Flavor Ingredient
80,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67EE0>,False,C1CCc2nnnn2CC1,True,BitterDB
81,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67F30>,False,CN1C=CC(=O)C(=C1C)O,True,BitterDB
82,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67F80>,False,CCSC1=CC=CC=N1,True,The Good Scents Company Database
83,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52030>,False,CC1=CC(=O)NC(=S)N1,True,BitterDB
84,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52080>,False,Cc1cc(O)nc(S)n1,True,BitterDB
85,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE520D0>,False,CN1C(=O)OC(C)(C)C1=O,True,BitterDB
86,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52120>,False,CCCC(CCC)C(=O)N,True,BitterDB
87,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52170>,False,[Na+].[O-]C(=O)c1ccccc1,True,BitterDB
88,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE521C0>,False,CCCOC(=O)CC(C)C,True,BitterDB
89,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52210>,False,Nc1ncc(s1)[N+](=O)[O-],True,BitterDB
90,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52260>,False,C1=CC=C2C(=C1)C=COC2=O,True,Biochemical Targets of Plant Bioactive Compounds by Gideon Polya
91,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE522B0>,False,C1=CC=C2C(=C1)C=C(O2)C=O,True,The Good Scents Company Database
92,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52300>,False,O=C1CCCc2ccccc12,True,BitterDB
93,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52350>,False,CCCCCC(CCO)O,True,The Good Scents Company Database
94,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE523A0>,False,[OH-].CC[N+](CC)(CC)CC,True,BitterDB
95,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE523F0>,False,NC(=O)Nc1cccc(c1)C,True,Rojas et al. (2017)
96,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52440>,False,CC(C)(CC1=CC=CC=C1)O,True,Fenaroli’s Handbook of Flavor Ingredient
97,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52490>,False,CC(Nc1ccc(O)cc1)=O,True,Rodgers et al. (2006)
98,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE524E0>,False,CCOCCC1=CC=CC=N1,True,The Good Scents Company Database
99,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52530>,False,CC(=S)Nc1ccccc1,True,BitterDB
100,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52580>,False,CC1=CC=C(O1)CCC(=O)C,True,The Good Scents Company Database
101,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE525D0>,False,NC(=S)Nc1ccccc1,True,Rojas et al. (2017)
102,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52620>,False,CC12CCC(C1)C(C)(C)C2=O,True,BitterDB
103,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52670>,False,CC(C)C1CC(=CC(=O)C1)C,True,BitterDB
104,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE526C0>,False,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,True,BitterDB
105,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52710>,False,CC(C)[C@@]12C[C@@H]1[C@H](C)C(=O)C2,True,BitterDB
106,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52760>,False,CC(=CCCC(=CC=O)C)C,True,BitterDB
107,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE527B0>,False,CSCCC1=CC=CC=N1,True,The Good Scents Company Database
108,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52800>,False,CC(=CCCC(=CCO)C)C,True,BitterDB
109,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52850>,False,CC12CCC(C1)C(C)(C)C2O,True,BitterDB
110,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE528A0>,False,CC1CC(=CC(C1CO)C)C,True,The Good Scents Company Database
111,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE528F0>,False,O=C(O)[C@@H](N)Cc1c[nH]cn1,True,Rodgers et al. (2006)
112,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52940>,False,C1=C(NC=N1)CC(C(=O)O)N,True,Fenaroli’s Handbook of Flavor Ingredient
113,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52990>,False,C1=CC=C(C=C1)C2=CC=NC=C2,True,The Good Scents Company Database
114,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE529E0>,False,c1cc(ccn1)c2ccncc2,True,BitterDB
115,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52A30>,False,CC(C)CCCC(C)CCO,True,Fenaroli’s Handbook of Flavor Ingredient
116,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52A80>,False,CN1C(=O)C=Cc2ccccc12,True,BitterDB
117,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52AD0>,False,CC1=CC=CC2=C1OC(=C2)C=O,True,The Good Scents Company Database
118,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52B20>,False,CC(=O)C1=CC2=CC=CC=C2O1,True,The Good Scents Company Database
119,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52B70>,False,c1(ccc2c(c1)oc(cc2)=O)O,True,Rodgers et al. (2006)
120,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52BC0>,False,OC(=O)c1oc2ccccc2c1,True,BitterDB
121,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52C10>,False,COC1CC(O)C(C(O1)C)O,True,Rojas et al. (2017)
122,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52C60>,False,COC1OC(C)C(CC1O)O,True,Rojas et al. (2017)
123,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52CB0>,False,COC1OC(C)CC(C1O)O,True,Rojas et al. (2017)
124,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52D00>,False,O=COCC=Cc1ccccc1,True,BitterDB
125,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52D50>,False,C[N@@]1CCC[C@H]1c1cnccc1,True,Rodgers et al. (2006)
126,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52DA0>,False,CC(C)C(C=O)c1ccccc1,True,BitterDB
127,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52DF0>,False,CN1CCCC1c2cccnc2,True,BitterDB
128,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52E40>,False,CC(O)CCOCCC(C)O,True,BitterDB
129,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52E90>,False,CC1=CC(=O)NS(=O)(=O)O1,True,BitterDB
130,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52EE0>,False,CC(=O)C1=NC(=CC=C1)C(=O)C,True,The Good Scents Company Database
131,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52F30>,False,CC(C)c1ccc(C=NO)cc1,True,BitterDB
132,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE52F80>,False,S=C=NCCc1ccccc1,True,BitterDB
133,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077030>,False,CC/C=C\CC1=C(CCC1=O)C,True,Fenaroli’s Handbook of Flavor Ingredient
134,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077080>,False,COc1ccc(NC(=O)C)cc1,True,BitterDB
135,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0770D0>,False,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,True,The Good Scents Company Database
136,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077120>,False,OC(O)C(Cl)(Cl)Cl,True,BitterDB
137,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077170>,False,OC(=O)c1ccc2OCOc2c1,True,BitterDB
138,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0771C0>,False,COC(Cc1ccccc1)OC,True,BitterDB
139,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077210>,False,CC1=CC(=C(C=C1O)C(C)C)O,True,The Good Scents Company Database
140,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077260>,False,O=N(=O)c1cccc(c1)N(=O)=O,True,Rojas et al. (2017)
141,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0772B0>,False,CCC1(CC)C(=O)CCNC1=O,True,BitterDB
142,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077300>,False,C1=CC=C(C=C1)CC2=CC=NC=C2,True,The Good Scents Company Database
143,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077350>,False,OC[C@@H]1CCCN2CCCC[C@H]12,True,BitterDB
144,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0773A0>,False,c1c(cc(c(c1O)O)O)C(O)=O,True,Rodgers et al. (2006)
145,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0773F0>,False,CCCC1=CC(=O)NC(=S)N1,True,BitterDB
146,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077440>,False,OC(=O)c1ccc(c(c1)N)Cl,True,Rojas et al. (2017)
147,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077490>,False,OC(=O)c1cccc2ccccc12,True,BitterDB
148,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0774E0>,False,CCCCOC(=O)CCC(=O)C,True,Fenaroli’s Handbook of Flavor Ingredient
149,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077530>,False,CCC1=NC2=CC=CC=C2N=C1C,True,The Good Scents Company Database
150,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077580>,False,CCCCCCCCOC(=O)C,True,Fenaroli’s Handbook of Flavor Ingredient
151,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0775D0>,False,CC1(CCC(CC1)C(C)(C)O)O,True,The Good Scents Company Database
152,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077620>,False,[O-][N+](=O)c1cccc2ccccc12,True,BitterDB
153,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077670>,False,[K+].[K+].[O-]S(=O)(=O)[O-],True,BitterDB
154,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0776C0>,False,c1(cncc2c1CCOC2=O)C=C,True,Rodgers et al. (2006)
155,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077710>,False,C1COC(=O)C2=C1C(=CC=C2)C=O,True,Biochemical Targets of Plant Bioactive Compounds by Gideon Polya
156,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077760>,False,NC(=NC(=Nc1ccccc1)N)N,True,BitterDB
157,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0777B0>,False,Cl.CNC(C)CC1CCCC1,True,BitterDB
158,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077800>,False,C/C=C/C1=CC(=C(C=C1)OC)OC,True,Fenaroli’s Handbook of Flavor Ingredient
159,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077850>,False,COc1ccc(CC=C)cc1OC,True,BitterDB
160,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0778A0>,False,COc1ccc(C=CC)cc1OC,True,BitterDB
161,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0778F0>,False,CCN(CC)C(=O)c1cccnc1,True,BitterDB
162,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077940>,False,NC(=O)OCCCc1ccccc1,True,BitterDB
163,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077990>,False,CCOc1ccc(NC(=O)C)cc1,True,BitterDB
164,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0779E0>,False,Cn1cnc2c1c(=O)[nH]c(=O)n2C,True,Rojas et al. (2017)
165,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077A30>,False,C1[C@H]([C@H]([C@@H]([C@@](O1)(CO)O)O)O)O,True,Rodgers et al. (2006)
166,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077A80>,False,CN1C(=O)N(C)c2nc[nH]c2C1=O,True,BitterDB
167,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077AD0>,False,OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)[C@H](O1)O,True,Wiener et al. (2017) - Phyto-Dictionary
168,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077B20>,False,CCCOC(=O)C=C/c1occc1,True,BitterDB
169,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077B70>,False,CCOC(=O)c1cc(O)c(O)cc1,True,Wiener et al. (2017) - Bitter-New
170,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077BC0>,False,Cc1ccccc1OCC(O)CO,True,BitterDB
171,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077C10>,False,Cc1nccc2c3ccccc3[nH]c12,True,BitterDB
172,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077C60>,False,CC(=CCCC(=CCOC=O)C)C,True,BitterDB
173,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077CB0>,False,CC1=CCC(CC1)C(C)(C)OC=O,True,Fenaroli’s Handbook of Flavor Ingredient
174,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077D00>,False,C1=CC=C(C=C1)C(=O)C2=CC=CC=N2,True,The Good Scents Company Database
175,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077D50>,False,C1=CC=C(C=C1)C(=O)C2=CC=NC=C2,True,The Good Scents Company Database
176,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077DA0>,False,CCC1(CC)C(=O)NCC(C)C1=O,True,BitterDB
177,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077DF0>,False,[Mg+2].[Br-].[Br-],True,BitterDB
178,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077E40>,False,O=C1NC(=O)NC(=O)C1(CC)CC,True,Rodgers et al. (2006)
179,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077E90>,False,Cl.CNC(C)Cc1ccccc1,True,BitterDB
180,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077EE0>,False,CCOC(=O)N1C=CN(C)C1=S,True,BitterDB
181,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077F30>,False,CCCC1=NC2=CC=CC=C2N=C1C,True,The Good Scents Company Database
182,<rdkit.Chem.rdchem.Mol object at 0x00000201DE077F80>,False,CCCCCCCCCOC(=O)C,True,Fenaroli’s Handbook of Flavor Ingredient
183,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050030>,False,O([H])C([C@]([H])(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])N([H])C(C([H])([H])N([H])[H])=O)=O,True,BitterDB
184,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050080>,False,CN1N(C(=O)C=C1C)c2ccccc2,True,BitterDB
185,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0500D0>,False,CC(C)C/C=C(\C=O)/C1=CC=CC=C1,True,The Good Scents Company Database
186,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050120>,False,O.CC(C)(O)C1CCC(C)(O)CC1,True,BitterDB
187,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050170>,False,[Mg+2].[O-]Cl(=O)=O.[O-]Cl(=O)=O,True,BitterDB
188,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0501C0>,False,Cl.CNCC(C)C1CCCCC1,True,BitterDB
189,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050210>,False,CCOC(=O)/C=C/c1ccc(O)cc1,True,Wiener et al. (2017) - Bitter-New
190,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050260>,False,CCC(Br)(CC)C(=O)N,True,BitterDB
191,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0502B0>,False,COc1ccc2COC(=O)c2c1OC,True,BitterDB
192,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050300>,False,Cn1cnc2c1c(=O)n(C)c(=O)n2C,True,Rojas et al. (2017)
193,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050350>,False,COCC(CCCc1ccccc1)O,True,Rojas et al. (2017)
194,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0503A0>,False,[Na+].Oc1ccccc1S(=O)(=O)[O-],True,BitterDB
195,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0503F0>,False,O=C1c2ccccc2Oc3ccccc13,True,BitterDB
196,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050440>,False,CCOC(=O)c1cc(OC)c(O)cc1,True,Wiener et al. (2017) - Bitter-New
197,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050490>,False,CCOc1ccc(cc1)NC(=S)N,True,Rojas et al. (2017)
198,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0504E0>,False,CC(=CCCC(=CCOC(=O)C)C)C,True,BitterDB
199,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050530>,False,CCCCCCCCCCC=CC=O,True,BitterDB
200,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050580>,False,Cl.C(C1=NCCN1)c2ccccc2,True,BitterDB
201,<rdkit.Chem.rdchem.Mol object at 0x00000201DE0505D0>,False,NC(=O)NN=C/c1oc(cc1)[N+](=O)[O-],True,BitterDB
202,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050620>,False,CCOC(=O)c1cc(O)c(O)c(c1)O,True,Wiener et al. (2017) - Bitter-New
203,<rdkit.Chem.rdchem.Mol object at 0x00000201DE050670>,False,COc1ccccc1OCC(O)CO,True,BitterDB
