order,id,name,SMILES,cid
13,b_42,Arborescin,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,566062
14,b_43,Arglabin,CC1=CC[C@@]23[C@@H]1[C@@H]4[C@@H](CC[C@@]2(O3)C)C(=C)C(=O)O4,636760
15,b_44,Aristolochic acid,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,2236
16,b_45,Artemorin,C/C/1=C[C@@H]2[C@@H](CCC(=C)[C@@H](CC1)O)C(=C)C(=O)O2,5281428
17,b_46,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519
18,b_48,Cascarillin,C[C@@H]1[C@@H](C[C@@]2([C@@H]([C@]1(C[C@H](C3=COC=C3)O)C=O)CC[C@H]([C@]2(C)O)O)C)OC(=O)C,442011
19,b_49,Coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,323
20,b_50,Cucurbitacin B,CC(=O)OC(C)(C)/C=C/C(=O)[C@@](C)(C1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3C[C@@H](C(=O)C4(C)C)O)C)C)C)O)O,6433476
21,b_51,Falcarindiol,CCCCCCC/C=C[C@@H](C#CC#C[C@H](C=C)O)O,6436239
22,b_52,Noscapine,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,275196
23,b_53,Papaverine,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,4680
24,b_54,Parthenolide,C/C/1=CCC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,6473881
25,b_55,Quassin,C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2C(=O)C(=C([C@@H]4CC(=O)O3)C)OC)C)C)OC,65571
26,b_56,Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],2265
27,b_57,Benzamide,C1=CC=C(C=C1)C(=O)N,2331
28,b_59,Chlorhexidine,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)N)N)N)/N)Cl,9552079
29,b_60,Chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,2725
30,b_61,Diphenhydramine,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3100
31,b_62,Diphenidol,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,3055
32,b_63,"Diphenylthiourea, sulfocarbanilide, sym-Diphenylthiourea, thiocarbanilide",C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2,700999
33,b_65,Flufenamic Acid,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,3371
34,b_66,Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3559
35,b_67,Sodium Benzoate,C1=CC=C(C=C1)C(=O)[O-].[Na+],517055
36,b_68,Thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,1130
37,b_69,Chloramphenicol,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],5959
38,b_70,Yohimbine,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,8969
39,b_71,Amarogentin,C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC(=O)C4=C(C=C(C=C4C5=CC(=CC=C5)O)O)O,115149
40,b_72,Adhumulone,CCC(C)C(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,185635
41,b_73,Cohumulone,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,196915
42,b_74,Colupulone,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,373677
43,b_75,Isoxanthohumol,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C,513197
44,b_76,Xanthohumol,CC(=CCC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)C,639665
45,b_77,Dextromethorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,5360696
46,b_78,Sodium_thiocyanate,[11C](#N)[S-].[Na+],10866255
47,b_79,Trans-isohumulone,CC(C)CC(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,11175902
48,b_80,Trans-isocohumulone,CC(C)C(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,44201359
49,b_81,Adlupulone,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,9909740
50,b_82,Cis-isocohumulone,CC(C)C(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,58473841
51,b_83,Cis-isohumulone,CC(C)CC(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,21594782
52,b_84,Cis-isoadhumulone,CC[C@H](C)C(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,92253768
53,b_85,Trans-isoadhumulone,CC[C@H](C)C(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,92253767
54,b_87,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,2719
55,b_88,8-prenylnaringenin,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)O)O)C,509245
56,b_89,Picrotoxinin,CC(=C)[C@@H]1[C@@H]2[C@@H]3[C@@]4([C@]([C@H]1C(=O)O2)(C[C@@H]5[C@]4(O5)C(=O)O3)O)C,442292
57,b_90,(-)-alpha Thujone,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C,261491
58,b_91,Brucine,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7C4N2C(=O)CC7OCC=C6C5)OC,9649
59,b_92,Colchicine,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,6167
60,b_93,Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,2955
61,b_94,Denatonium benzoate,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-],19518
62,b_95,"1,10-phenanthroline",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[O-]S(=O)(=O)[O-].[Fe+2],84567
63,b_96,Cromolyn,C1=CC2=C(C(=C1)OCC(COC3=CC4=C(C=C3)OC(=CC4=O)C(=O)O)O)C(=O)C=C(O2)C(=O)O,27686
64,b_97,"Cucurbitacin E, Cucurbitacins",CC(=O)OC(C)(C)/C=C/C(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)O)C)C)C)O)O,5353547
65,b_98,"Cycloheximid, Cycloheximide",C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,6197
66,b_99,Erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,12560
67,b_100,Strychnine,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,441071
68,b_101,Famotidine,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,5702160
69,b_102,"Amygdalin, D",C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,2180
70,b_103,Arbutin,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,440936
71,b_104,Helicin,C1=CC=C(C(=C1)C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,101799
72,b_106,Sinigrin,C=CC/C(=NOS(=O)(=O)[O-])/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O.[K+],23682211
73,b_109,Caprolactam,C1CCC(=O)NCC1,7768
74,b_111,Ethylpyrazine,CCC1=NC=CN=C1,26331
75,b_113,"Ethylene Thiourea, N,N-ethylene thiourea",C1CNC(=S)N1,2723650
76,b_114,Limonin,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,179651
77,b_118,Phenethyl isothiocyanate,C1=CC=C(C=C1)CCN=C=S,16741
78,b_119,Phenylthiocarbamide  (PTC),C1=CC=C(C=C1)NC(=S)N,676454
79,b_121,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,1983
80,b_122,Acesulfame K,CC1=CC(=NS(=O)(=O)O1)[O-].[K+],23683747
81,b_123,Aloin,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3[C@@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)CO)O,14989
82,b_124,"Grosheimin, grossheimin",CC1C2C(CC1=O)C(=C)CC(C3C2OC(=O)C3=C)O,99967
83,b_125,Saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,5143
84,b_126,Andrographolide,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/3[C@@H](COC3=O)O)(C)CO)O,5318517
85,b_127,Cnicin,C/C/1=CCC/C(=C/[C@@H]2[C@@H]([C@H](C1)OC(=O)C(=C)[C@H](CO)O)C(=C)C(=O)O2)/CO,5281435
86,b_128,Crispolide,C[C@]12CC[C@H](C(=CC[C@@H]3[C@@H]([C@H]1O)OC(=O)C3=C)C2)OO,97161248
87,b_129,Hydrocortisone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,5754
88,b_130,Orphenadrine,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,4601
89,b_131,Tatridin B,C/C/1=C[C@H]([C@H]2[C@H](CC(=C)[C@@H](CC1)O)OC(=O)C2=C)O,14191260
90,b_132,Methadone,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,4095
91,b_134,Cinnamedrine,CC(C(C1=CC=CC=C1)O)N(C)C/C=C/C2=CC=CC=C2,5370611
92,b_142,Clobutinol,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O.Cl,92876
93,b_144,Clonixin,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O,28718
94,b_148,Cocaine Hydrochloride,CN1[C@H]2CC[C@@H]1[C@@H]([C@@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,638023
95,b_149,Alverine,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,21718
96,b_151,Codamine,CN1CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)O)OC,89421
97,b_152,Colubrines,COC1=CC2=C(C=C1)N3C4C25CCN6C5CC7C4C(CC3=O)OCC=C7C6,10512
98,b_154,Columbin,C[C@@]12CC[C@H]3C(=O)O[C@@H](C[C@]3([C@@H]1[C@@H]4C=C[C@]2(C(=O)O4)O)C)C5=COC=C5,188289
99,b_155,Conessine,C[C@H]1[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)N(C)C)C)CN1C.Br.Br,111109
100,b_158,Coriamyrtin,CC(=C)C1C2CC3(C4(CO4)C5C(C3(C1C(=O)O2)O)O5)C,433737
101,b_159,Coumarilic Acid,C1=CC=C2C(=C1)C=C(O2)C(=O)O,10331
102,b_161,Cyclexedrine Hydrochloride,CC(CNC)C1CCCCC1.Cl,115662
103,b_162,Cyclobarbital,CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Ca+2],24283
104,b_165,Cyclopentamine Hydrochloride,CC(CC1CCCC1)NC.Cl,92798
105,b_166,Deferiprone,CC1=C(C(=O)C=CN1C)O,2972
106,b_167,2-Amino-5-nitrothiazole,C1=C(SC(=N1)N)[N+](=O)[O-],8486
107,b_169,Dehydrocholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C,6674
108,b_170,Dextroamphetamine Sulfate,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O,5825
109,b_172,Dextromoramide Bitartrate,C[C@H](CN1CCOCC1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N4CCCC4.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,92942
110,b_174,Dibekacin Sulfate,C1C[C@H]([C@H](O[C@@H]1CN)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N)N)N.[O-]S(=O)(=O)[O-],162862
111,b_176,Dicumarol,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,54676038
112,b_178,Dicyclomine Hydrochloride,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,441344
113,b_181,"3,5-Diiodosalicylic Acid",C1=C(C=C(C(=C1I)O)C(=O)O)I,8631
114,b_183,Diltiazem Hydrochloride,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,62920
115,b_185,Dimemorfan Phosphate,CC1=CC2=C(C[C@@H]3[C@@H]4[C@]2(CCCC4)CCN3C)C=C1.OP(=O)(O)O,5492722
116,b_186,Dimethocaine Hydrochloride,CCN(CC)CC(C)(C)COC(=O)C1=CC=C(C=C1)N.Cl,120286
117,b_189,"3,4-Dinitrobenzoic Acid",C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],10709
118,b_190,Dipyridamole,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,3108
119,b_191,Aminophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,9433
120,b_192,"绾?绾? -Dipyridyl Dihydrate, gamma,gamma'-Dipyridyl",C1=CN=CC=C1C2=CC=NC=C2,11107
121,b_193,Domiphen Bromide,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],10866
122,b_196,Drotebanol,CN1CC[C@]23C[C@@H](CC[C@]2([C@H]1CC4=C3C(=C(C=C4)OC)OC)O)O,5463863
123,b_197,Dyphylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,3182
124,b_199,Edrophonium Bromide,CC[N+](C)(C)C1=CC(=CC=C1)O.[Br-],9336
125,b_200,Epirizole,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,3242
126,b_202,Eprazinone Dihydrochloride,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,73356
127,b_205,Ethyl Biscoumacetate,CCOC(=O)C(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,54685524
128,b_206,Etilefrin Hydrochloride,CCNCC(C1=CC(=CC=C1)O)O.Cl,164652
129,b_208,Fencamine Hydrochloride,CC(CC1=CC=CC=C1)N(C)CCNC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C.Cl,115373
130,b_209,Fenproporex Hydrochloride,CC(CC1=CC=CC=C1)NCCC#N.Cl,161245
131,b_211,Fentanyl Citrate,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,13810
132,b_214,Fluorotoluene,CC1=CC=C(C=C1)F,9603
133,b_216,Fraxin,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,5273568
134,b_217,Furfuryl Alcohol,C1=COC(=C1)CO,7361
135,b_218,Ammonium Picrate,C1=C(C=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-].[NH4+],8577
136,b_220,Gamabufotalin,C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2[C@@H](C[C@]4([C@@]3(CC[C@@H]4C5=COC(=O)C=C5)O)C)O)O,259803
137,b_221,Gentiobiose,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O,441422
138,b_223,Ginkgolide C,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5O)C(C)(C)C)C(C(=O)OC6O4)O)O,161120
139,b_224,Ginkgolide A,C[C@@H]1C(=O)O[C@@H]2[C@]1([C@@]34C(=O)O[C@H]5C3(C2)C6([C@@H](C5)C(C)(C)C)[C@H](O4)OC(=O)C6O)O,441293
140,b_225,Ginkgolide B,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,65243
141,b_226,灏?Glucogallin,C1=C(C=C(C(=C1O)O)O)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,124021
142,b_227,Glucovanillin,COC1=C(C=CC(=C1)C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,6452133
143,b_228,Glutaronitrile,C(CC#N)CC#N,10994
144,b_229,Amobarbital,CCC1(C(=O)NC(=O)NC1=O)CCC(C)C,2164
145,b_230,Amobarbital Sodium salt,CCC1(C(=O)NC(=NC1=O)[O-])CCC(C)C.[Na+],23689390
146,b_231,Guaifenesin,COC1=CC=CC=C1OCC(CO)O,3516
147,b_232,Harman,CC1=NC=CC2=C1NC3=CC=CC=C23,5281404
148,b_235,Hexobarbital Sodium salt,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2.[Na],24197253
149,b_237,Homidium Bromide,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],14710
150,b_241,Amodiaquin Dihydrochloride dihydrate,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O.O.O.Cl.Cl,64646
151,b_249,Hydroxychloroquine sulfate,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,12947
152,b_253,Hydroxyzine Dihydrochloride,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl,91513
153,b_255,Imipramine N-Oxide Hydrochloride,CN(C)CCC[N+]1(C2=CC=CC=C2CCC3=CC=CC=C31)[O-].Cl,88286
154,b_257,Improsulfan Tosylate,CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)OCCCNCCCOS(=O)(=O)C,284314
155,b_259,Acecarbromal,CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,6489
156,b_262,Amphetamine Sulfate,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O,6055
157,b_263,Amphetamine Phosphate,CC(CC1=CC=CC=C1)N.OP(=O)(O)O,62885
158,b_264,Inaperisone Hydrochloride,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCC2.Cl,147524
159,b_266,Iodinated Glycerol,CC(C1OCC(O1)CO)I,21852
160,b_267,Ipodate Sodium salt,CN(C)C=NC1=C(C=C(C(=C1I)CCC(=O)[O-])I)I.[Na+],23671932
161,b_269,L-Isoleucine,CC[C@H](C)[C@@H](C(=O)O)N,6306
162,b_274,Isometheptene Mucate,CC(CCC=C(C)C)NC.C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,24109
163,b_276,Isoxsuprine,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl,11368
164,b_278,Khellin,CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC,3828
165,b_280,Lafutidine,C1CCN(CC1)CC2=CC(=NC=C2)OC/C=CCNC(=O)CS(=O)CC3=CC=CO3,5282136
166,b_281,Lappaconitine,CCN1C[C@@]2(CC[C@@H](C34[C@@H]2CC(C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C,115161
167,b_282,Linamarin,CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,11128
168,b_283,Lincomycin Hydrochloride monohydrate,CCC[C@@H]1C[C@H](N(C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@@H](C)O.O.Cl,71476
169,b_285,Amylocaine Hydrochloride,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1.Cl,10766
170,b_289,Lycoctonine,CCN1CC2(CCC(C34C2C(C(C31)(C5(CC(C6CC4C5C6OC)OC)O)O)OC)OC)CO,99924
171,b_290,Lycopodine,CC1CC23CCCN4C2(C1)C(CCC4)C(=O)CC3,101684
172,b_292,Magnesium Chlorate Hexahydrate,[O-]Cl(=O)=O.[O-]Cl(=O)=O.[Mg+2],25155
173,b_293,Magnesium Lactate Trihydrate,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Mg+2],6536825
174,b_294,Magnesium Sulfate Heptahydrate,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Mg+2],24843
175,b_298,Meconin,COC1=C(C2=C(COC2=O)C=C1)OC,68437
176,b_299,l-Menthone,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,26447
177,b_301,Meperidine Hydrochloride,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl,5750
178,b_303,Mephenesin,CC1=CC=CC=C1OCC(CO)O,4059
179,b_306,Mersalyl,COC(CNC(=O)C1=CC=CC=C1OCC(=O)[O-])C[Hg+].[OH-].[Na+],9806195
180,b_309,Methacycline Hydrochloride,CN(C)[C@H]1[C@@H]2[C@H]([C@@H]3C(=C)C4=C(C(=CC=C4)O)C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O.Cl,54685047
181,b_310,Methadone Hydrochloride,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,14184
182,b_313,Methamphetamine Hydrochloride,C[C@@H](CC1=CC=CC=C1)NC.Cl,66124
183,b_314,Methantheline Bromide,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13.[Br-],5883
184,b_315,"Methoxsalen, xanthotoxin",COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,4114
185,b_317,Methoxyphenamine Hydrochloride,CCC(C1=CC=CC=C1OC)NC.Cl,71471
186,b_318,Methylbenzethonium Chloride Monohydrate,CC1=C(C=CC(=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2)C(C)(C)CC(C)(C)C.[Cl-],14842
187,b_320,"5,5' Methylenedisalicylic Acid",C1=CC(=C(C=C1CC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O,67145
188,b_321,Methylergonovine Maleate,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=CC(=O)O)C(=O)O,5281072
189,b_324,Methyprylon,CCC1(C(=O)C(CNC1=O)C)CC,4162
190,b_325,Anethole Trithione,COC1=CC=C(C=C1)C2=CC(=S)SS2,2194
191,b_326,Metralindole Hydrochloride,CN1CCN2C3=C(C=C(C=C3)OC)C4=C2C1=NCC4.Cl,171296
192,b_330,Mibefradil Dihydrochloride,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F.Cl.Cl,60662
193,b_332,Morphine Hydrochloride,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.Cl,5464110
194,b_334,"Moveltipril, calcium salt",C[C@H](C(=O)[C@@]1(CCCN1C(=O)C(C)CS)C(=O)O)NC(=O)C2CCCCC2.C[C@H](C(=O)[C@@]1(CCCN1C(=O)C(C)CS)C(=O)O)NC(=O)C2CCCCC2.[Ca],6336573
